Species,decimalLongitude,decimalLatitude
Vitellaria paradoxa C.F.Gaertn.,7.649374,12.991545
Vitellaria paradoxa C.F.Gaertn.,7.738392,12.853364
Vitellaria paradoxa C.F.Gaertn.,9.64031,10.395676
Vitellaria paradoxa C.F.Gaertn.,10.196648,10.02891
Vitellaria paradoxa C.F.Gaertn.,3.090544,11.660103
Vitellaria paradoxa C.F.Gaertn.,3.330808,11.762735
Vitellaria paradoxa C.F.Gaertn.,3.223596,11.887901
Vitellaria paradoxa C.F.Gaertn.,3.115581,11.754505
Vitellaria paradoxa C.F.Gaertn.,3.128847,11.672472
Vitellaria paradoxa C.F.Gaertn.,3.183008,11.791027
Vitellaria paradoxa C.F.Gaertn.,4.923276,7.55401
Vitellaria paradoxa C.F.Gaertn.,3.192976,11.149362
Vitellaria paradoxa C.F.Gaertn.,3.052567,11.092049
Vitellaria paradoxa C.F.Gaertn.,4.657,8.47
Vitellaria paradoxa C.F.Gaertn.,3.19528,11.64764
Vitellaria paradoxa C.F.Gaertn.,3.046825,12.032996
Vitellaria paradoxa C.F.Gaertn.,3.217937,11.827024
Vitellaria paradoxa C.F.Gaertn.,3.049742,11.718601
Vitellaria paradoxa C.F.Gaertn.,5.388706,7.793445
Vitellaria paradoxa C.F.Gaertn.,3.07,11.451
Vitellaria paradoxa C.F.Gaertn.,3.091291,11.661556
Vitellaria paradoxa C.F.Gaertn.,3.06422,11.672747
Vitellaria paradoxa C.F.Gaertn.,3.127186,11.772353
Vitellaria paradoxa C.F.Gaertn.,4.183023,7.809303
Vitellaria paradoxa C.F.Gaertn.,4.669836,8.559096
Vitellaria paradoxa C.F.Gaertn.,8.54,8.541
Vitellaria paradoxa C.F.Gaertn.,4.273,8.182
Vitellaria paradoxa C.F.Gaertn.,4.27,8.178
Vitellaria paradoxa C.F.Gaertn.,4.269,8.176
Vitellaria paradoxa C.F.Gaertn.,3.418143,7.536318
Vitellaria paradoxa C.F.Gaertn.,4.672,8.48
Vitellaria paradoxa C.F.Gaertn.,8.328229,7.998458
Vitellaria paradoxa C.F.Gaertn.,8.304107,8.418354
Vitellaria paradoxa C.F.Gaertn.,4.674,8.481
Vitellaria paradoxa C.F.Gaertn.,4.674,8.481
Vitellaria paradoxa C.F.Gaertn.,4.927053,7.475134
Vitellaria paradoxa C.F.Gaertn.,5.113794,8.117682
Vitellaria paradoxa C.F.Gaertn.,6.453,9.533
Vitellaria paradoxa C.F.Gaertn.,6.453,9.533
Vitellaria paradoxa C.F.Gaertn.,4.673,8.481
Vitellaria paradoxa C.F.Gaertn.,4.353994,12.64276
Vitellaria paradoxa C.F.Gaertn.,9.249844,11.649411
Vitellaria paradoxa C.F.Gaertn.,10.196624,11.55134
